result,payout
2,9192
1,4665
10,54863
200,180445
1,4241
1,4141
1,4552
1,5097
10,59171
2,14372
2,20312
5,24092
1,5839
1,5584
1,5970
10,62263
100,93392
2,20743
1,6189
100,94259
1,5870
1,5548
5,25186
1,5843
1,5438
5,163435
300,82434
1,6739
1,6446
2,12204
1,6747
1,7787
5,36894
2,12320
10,62414
5,69030
2,12067
1,7201
200,479075
1,5457
2,11199
1,8115
1,62501
1,4995
1,5334
100,95308
1,5293
1,5465
100,96230
2,14172
1,6497
10,46105
10,47925
300,19740
200,159266
10,44031
10,46828
300,18750
1,5563
1,5501
1,5199
1,5863
1,6481
300,58798
200,140887
2,20494
1,6501
10,50287
1,8004
400,171393
1,8242
400,245361
1,6419
5,28232
1,38480
2,16249
1,7476
1,7615
300,55346
10,54293
1,7623
2,20401
5,26496
100,969354
1,7374
10,42952
300,52880
1,9234
1,18118
1,5679
1,3128
2,13786
1,3507
10,167657
200,117784
1,2016
100,465782
1,2757
1,2722
1,2205
